"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"Huntridge","NV","Las Vegas","Clark","Las Vegas",802,1147,0.00349956255468067,0.0123565754633716,0.0571428571428571,4649
2017-10-31,"Squirrel Hill South","PA","Pittsburgh","Allegheny","Pittsburgh",803,1737,-0.00172413793103448,-0.00799543118218161,0.00520833333333333,4348
2017-10-31,"Rockaway Park","NY","New York","Queens","New York",804,2167,0.002776492364646,0.0140383715489003,0.0241020793950851,2502
2017-10-31,"North Park","NY","Buffalo","Erie","Buffalo",805,1141,0.00706090026478376,0.0178412132024978,0.0458295142071494,4210
2017-10-31,"Bay View","WI","Milwaukee","Milwaukee","Milwaukee",806,1226,0.010717230008244,0.0165837479270315,0.010717230008244,6016
2017-10-31,"Thomas Dale","MN","Minneapolis-St Paul","Ramsey","Saint Paul",807,1294,0.00857365549493375,0.0294351630867144,0.0435483870967742,3200
2017-10-31,"Villages of Palm Beach Lakes","FL","Miami-Fort Lauderdale","Palm Beach","West Palm Beach",808,1404,0.0014265335235378,0.00357398141529664,0.00862068965517241,6026
2017-10-31,"Southwest Detroit","MI","Detroit","Wayne","Detroit",809,767,0.0105401844532279,0.0199468085106383,0.0350877192982456,4352
2017-10-31,"Portola","CA","San Francisco","San Francisco","San Francisco",810,3926,-0.0103352659440383,-0.0165330661322645,-0.021679541490157,4092
2017-10-31,"Tudor City","NY","New York","New York","New York",811,3747,0.00240770465489567,0.0291128810766273,0.0254515599343186,8990
2017-10-31,"Eastwick","PA","Philadelphia","Philadelphia","Philadelphia",812,1301,0.0116640746500778,0.0391373801916933,0.0637775960752249,1227
2017-10-31,"Central Beaverton","OR","Portland","Washington","Beaverton",813,1633,0.00184049079754601,-0.00244349419670128,0.00616142945163278,2684
2017-10-31,"Capitol Hill","CO","Denver","Denver","Denver",814,1544,-0.00129366106080207,0.0012970168612192,-0.0171865054105665,5326
2017-10-31,"Southeast Raleigh","NC","Raleigh","Wake","Raleigh",815,1238,-0.00161290322580645,-0.00322061191626409,0.0189300411522634,7688
2017-10-31,"West Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",816,1519,0.00596026490066225,0.0291327913279133,0.0999275887038378,5961
2017-10-31,"Canyon Crest","CA","Riverside","Riverside","Riverside",817,2163,0.000462534690101758,0.0037122969837587,0.04644412191582,5328
2017-10-31,"Battery Park","NY","New York","New York","New York",818,3795,0.00211249009770267,0.0074329705335811,-0.0160746694322012,6752
2017-10-31,"West University","TX","Austin","Travis","Austin",819,1605,-0.00186567164179104,-0.00619195046439629,-0.0219378427787934,3101
2017-10-31,"West Humboldt Park","IL","Chicago","Cook","Chicago",820,1428,0,-0.00279329608938547,0.000700770847932726,1628
2017-10-31,"East Side","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",821,2136,0.00234631628343501,0.00564971751412429,0.0323827936201063,2235
2017-10-31,"Cambria Heights","NY","New York","Queens","New York",822,2286,-0.0121002592912705,-0.0116731517509728,0.040983606557377,4663
2017-10-31,"Russian Hill","CA","San Francisco","San Francisco","San Francisco",823,5309,-0.00225521518511558,-0.0188504897431159,-0.042560865644725,3869
2017-10-31,"Ceder Grove, Lynbrook","LA","Shreveport","Caddo","Shreveport",824,584,0.00516351118760757,0.0354609929078014,-0.0875,4954
2017-10-31,"Artesia Pilar","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",825,2506,0.0024,0.00642570281124498,0.0411300373909431,2089
2017-10-31,"Playa Del Rey","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",826,3340,-0.00595238095238095,-0.0109564702398579,-0.0170688640376692,5407
2017-10-31,"Anaheim Resort","CA","Los Angeles-Long Beach-Anaheim","Orange","Anaheim",827,2436,0.000410677618069815,-0.00368098159509202,0.00661157024793388,1628
2017-10-31,"Montclare","IL","Chicago","Cook","Chicago",828,1741,-0.0040045766590389,-0.0113571834185122,0.00461627236006924,3866
2017-10-31,"Centerville","CA","San Francisco","Alameda","Fremont",829,2839,0.00888415067519545,0.0212230215827338,0.0327391778828665,3508
2017-10-31,"Firestone Park","OH","Akron","Summit","Akron",830,797,0.00504413619167718,0.00631313131313131,0.0204865556978233,5369
